verb,pair,phrase_type,left_actor_listA,right_actor_listA,,left_actor_listB,right_actor_listB,left_actor_list1A,right_actor_list1A,left_actor_list2A,right_actor_list2A,left_actor_list1B,right_actor_list1B,left_actor_list2B,right_actor_list2B
argue1,WMWW,transitive,WM2,WW1,,WW1,WM2,mike,beth,,,,,ruth,dave
argue2,WMWW,intransitive,WW2,WM1,,WM1,WW2,kate,fred,,,,,luke,jane
argue3,BMBW,transitive,BM2,BW1,,BW1,BM2,dave,ruth,,,,,beth,mike
argue4,BMBW,intransitive,BW2,BM1,,BM1,BW2,jane,luke,,,,,fred,kate
argue5,WMBM,transitive,WM2,BM1,,BM1,WM2,mike,luke,,,,,fred,dave
argue6,WMBM,intransitive,BM2,WM1,,WM1,BM2,dave,fred,,,,,luke,mike
argue7,WWBW,transitive,WW2,BW1,,BW1,WW2,kate,ruth,,,,,beth,jane
argue8,WWBW,intransitive,BW2,WW1,,WW1,BW2,jane,beth,,,,,ruth,kate
dance1,WMWW,transitive,WM1,WW2,,WW2,WM1,fred,kate,,,,,jane,luke
dance2,WMWW,intransitive,WW1,WM2,,WM2,WW1,beth,mike,,,,,dave,ruth
dance3,BMBW,transitive,BM1,BW2,,BW2,BM1,luke,jane,,,,,kate,fred
dance4,BMBW,intransitive,BW1,BM2,,BM2,BW1,ruth,dave,,,,,mike,beth
dance5,WMBM,transitive,WM1,BM2,,BM2,WM1,fred,dave,,,,,mike,luke
dance6,WMBM,intransitive,BM1,WM2,,WM2,BM1,luke,mike,,,,,dave,fred
dance7,WWBW,transitive,WW1,BW2,,BW2,WW1,beth,jane,,,,,kate,ruth
dance8,WWBW,intransitive,BW1,WW2,,WW2,BW1,ruth,kate,,,,,jane,beth
fight1,WMWW,transitive,WM2,WW2,,WW2,WM2,mike,kate,,,,,jane,dave
fight2,WMWW,intransitive,WW1,WM1,,WM1,WW1,beth,fred,,,,,luke,ruth
fight3,BMBW,transitive,BM2,BW2,,BW2,BM2,dave,jane,,,,,kate,mike
fight4,BMBW,intransitive,BW1,BM1,,BM1,BW1,ruth,luke,,,,,fred,beth
fight5,WMBM,transitive,WM2,BM2,,BM2,WM2,mike,dave,,,,,mike,dave
fight6,WMBM,intransitive,BM1,WM1,,WM1,BM1,luke,fred,,,,,luke,fred
fight7,WWBW,transitive,WW2,BW2,,BW2,WW2,kate,jane,,,,,kate,jane
fight8,WWBW,intransitive,BW1,WW1,,WW1,BW1,ruth,beth,,,,,ruth,beth
play1,WMWW,transitive,WM1,WW1,,WW1,WM1,fred,beth,,,,,ruth,luke
play2,WMWW,intransitive,WW2,WM2,,WM2,WW2,kate,mike,,,,,dave,jane
play3,BMBW,transitive,BM1,BW1,,BW1,BM1,luke,ruth,,,,,beth,fred
play4,BMBW,intransitive,BW2,BM2,,BM2,BW2,jane,dave,,,,,mike,kate
play5,WMBM,transitive,WM1,BM1,,BM1,WM1,fred,luke,,,,,fred,luke
play6,WMBM,intransitive,BM2,WM2,,WM2,BM2,dave,mike,,,,,dave,mike
play7,WWBW,transitive,WW1,BW1,,BW1,WW1,beth,ruth,,,,,beth,ruth
play8,WWBW,intransitive,BW2,WW2,,WW2,BW2,jane,kate,,,,,jane,kate
kiss1,WMWW,transitive,WM1,WW1,,WW1,WM1,fred,beth,,,,,ruth,luke
kiss2,WMWW,intransitive,WW2,WM2,,WM2,WW2,kate,mike,,,,,dave,jane
kiss3,BMBW,transitive,BM1,BW1,,BW1,BM1,luke,ruth,,,,,beth,fred
kiss4,BMBW,intransitive,BW2,BM2,,BM2,BW2,jane,dave,,,,,mike,kate
kiss5,WMBM,transitive,WM1,BM1,,BM1,WM1,fred,luke,,,,,fred,luke
kiss6,WMBM,intransitive,BM2,WM2,,WM2,BM2,dave,mike,,,,,dave,mike
kiss7,WWBW,transitive,WW1,BW1,,BW1,WW1,beth,ruth,,,,,beth,ruth
kiss8,WWBW,intransitive,BW2,WW2,,WW2,BW2,jane,kate,,,,,jane,kate
marry1,WMWW,transitive,WM2,WW1,,WW1,WM2,mike,beth,,,,,ruth,dave
marry2,WMWW,intransitive,WW2,WM1,,WM1,WW2,kate,fred,,,,,luke,jane
marry3,BMBW,transitive,BM2,BW1,,BW1,BM2,dave,ruth,,,,,beth,mike
marry4,BMBW,intransitive,BW2,BM1,,BM1,BW2,jane,luke,,,,,fred,kate
marry5,WMBM,transitive,WM2,BM1,,BM1,WM2,mike,luke,,,,,fred,dave
marry6,WMBM,intransitive,BM2,WM1,,WM1,BM2,dave,fred,,,,,luke,mike
marry7,WWBW,transitive,WW2,BW1,,BW1,WW2,kate,ruth,,,,,beth,jane
marry8,WWBW,intransitive,BW2,WW1,,WW1,BW2,jane,beth,,,,,ruth,kate
flirt1,WMWW,transitive,WM2,WW2,,WW2,WM2,mike,kate,,,,,jane,dave
flirt2,WMWW,intransitive,WW1,WM1,,WM1,WW1,beth,fred,,,,,luke,ruth
flirt3,BMBW,transitive,BM2,BW2,,BW2,BM2,dave,jane,,,,,kate,mike
flirt4,BMBW,intransitive,BW1,BM1,,BM1,BW1,ruth,luke,,,,,fred,beth
flirt5,WMBM,transitive,WM2,BM2,,BM2,WM2,mike,dave,,,,,mike,dave
flirt6,WMBM,intransitive,BM1,WM1,,WM1,BM1,luke,fred,,,,,luke,fred
flirt7,WWBW,transitive,WW2,BW2,,BW2,WW2,kate,jane,,,,,kate,jane
flirt8,WWBW,intransitive,BW1,WW1,,WW1,BW1,ruth,beth,,,,,ruth,beth
shout1,WMWW,transitive,WM1,WW1,,WW1,WM1,fred,beth,,,,,ruth,luke
shout2,WMWW,intransitive,WW2,WM2,,WM2,WW2,kate,mike,,,,,dave,jane
shout3,BMBW,transitive,BM1,BW1,,BW1,BM1,luke,ruth,,,,,beth,fred
shout4,BMBW,intransitive,BW2,BM2,,BM2,BW2,jane,dave,,,,,mike,kate
shout5,WMBM,transitive,WM1,BM1,,BM1,WM1,fred,luke,,,,,fred,luke
shout6,WMBM,intransitive,BM2,WM2,,WM2,BM2,dave,mike,,,,,dave,mike
shout7,WWBW,transitive,WW1,BW1,,BW1,WW1,beth,ruth,,,,,beth,ruth
shout8,WWBW,intransitive,BW2,WW2,,WW2,BW2,jane,kate,,,,,jane,kate
talk1,WMWW,transitive,WM1,WW2,,WW2,WM1,fred,kate,,,,,jane,luke
talk2,WMWW,intransitive,WW1,WM2,,WM2,WW1,beth,mike,,,,,dave,ruth
talk3,BMBW,transitive,BM1,BW2,,BW2,BM1,luke,jane,,,,,kate,fred
talk4,BMBW,intransitive,BW1,BM2,,BM2,BW1,ruth,dave,,,,,mike,beth
talk5,WMBM,transitive,WM1,BM2,,BM2,WM1,fred,dave,,,,,mike,luke
talk6,WMBM,intransitive,BM1,WM2,,WM2,BM1,luke,mike,,,,,dave,fred
talk7,WWBW,transitive,WW1,BW2,,BW2,WW1,beth,jane,,,,,kate,ruth
talk8,WWBW,intransitive,BW1,WW2,,WW2,BW1,ruth,kate,,,,,jane,beth
touch1,WMWW,transitive,WM2,WW2,,WW2,WM2,mike,kate,,,,,jane,dave
touch2,WMWW,intransitive,WW1,WM1,,WM1,WW1,beth,fred,,,,,luke,ruth
touch3,BMBW,transitive,BM2,BW2,,BW2,BM2,dave,jane,,,,,kate,mike
touch4,BMBW,intransitive,BW1,BM1,,BM1,BW1,ruth,luke,,,,,fred,beth
touch5,WMBM,transitive,WM2,BM2,,BM2,WM2,mike,dave,,,,,mike,dave
touch6,WMBM,intransitive,BM1,WM1,,WM1,BM1,luke,fred,,,,,luke,fred
touch7,WWBW,transitive,WW2,BW2,,BW2,WW2,kate,jane,,,,,kate,jane
touch8,WWBW,intransitive,BW1,WW1,,WW1,BW1,ruth,beth,,,,,ruth,beth
