rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
18241.6,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,18253,0.0-0.0,89483,List1B,black,woman,,,,,,,,,,,,,
65294.4,,,external-html,1,85018,0.0-1.0,89483,List1B,black,woman,consent.html,,,,,,,,,,,,
54610.2,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,139630,0.0-2.0,89483,List1B,black,woman,,,,,,,,,,,,,
44594.1,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,185232,0.0-3.0-0.0,89483,List1B,black,woman,,,,,,,,,,,,,
6231.3,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,4,192467,0.0-3.0-1.0,89483,List1B,black,woman,,TRUE,4,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,193975,0.0-3.0-2.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
4000.7,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,6,197978,0.0-3.0-4.0,89483,List1B,black,woman,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,199484,0.0-3.0-5.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
4392.4,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,8,203879,0.0-3.0-7.0,89483,List1B,black,woman,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,205383,0.0-3.0-8.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
5192,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,10,210578,0.0-3.0-10.0,89483,List1B,black,woman,,TRUE,0,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,212084,0.0-3.0-11.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
3964.6,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,12,216051,0.0-3.0-13.0,89483,List1B,black,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,13,217555,0.0-3.0-14.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
4398.9,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,221956,0.0-3.0-16.0,89483,List1B,black,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,15,223461,0.0-3.0-17.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
4039.9,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,16,227503,0.0-3.0-19.0,89483,List1B,black,woman,,TRUE,2,,,,,,,,,,
null,CORRECT,,html-keyboard-response,17,229008,0.0-3.0-20.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
4677.5,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,18,233688,0.0-3.0-22.0,89483,List1B,black,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,19,235193,0.0-3.0-23.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
3767.6,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,238963,0.0-3.0-25.0,89483,List1B,black,woman,,,,,,,,,,,,,
125846.9,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,365814,0.0-4.0,89483,List1B,black,woman,,,,,,,,,,,,,
8212.7,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,375031,0.0-5.0,89483,List1B,black,woman,,,,,,,,,,,,,
null,<img src='img/play_eg.gif' style='height:400px;''></img>,,html-keyboard-response,23,378049,0.0-6.0,89483,List1B,black,woman,,,,null,,,,,,,,,
null,<p>is playing with</p>,,html-keyboard-response,24,380051,0.0-7.0,89483,List1B,black,woman,,,,null,,,,,,,,,
9094.3,<p><b>Answer:</b> kate is playing with beth</p>,0,html-button-response,25,389147,0.0-8.0,89483,List1B,black,woman,,,,,,,,,,,,,
null,<img src='img/dance_eg.gif' style='height:400px;''></img>,,html-keyboard-response,26,392153,0.0-9.0,89483,List1B,black,woman,,,,null,,,,,,,,,
null,<p>is being entertained by</p>,,html-keyboard-response,27,394155,0.0-10.0,89483,List1B,black,woman,,,,null,,,,,,,,,
10911,<p><b>Answer:</b> luke is being entertained by dave</p>,0,html-button-response,28,405068,0.0-11.0,89483,List1B,black,woman,,,,,,,,,,,,,
35458.1,"<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,html-button-response,29,441529,0.0-12.0,89483,List1B,black,woman,,,,,,,,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,30,443035,0.0-13.0-0.0,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/greet5.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,31,445039,0.0-13.0-1.0,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is greeting,,html-keyboard-response,32,447041,0.0-13.0-2.0,89483,List1B,black,woman,,,,null,,,,,,,,,
13194.6,,,survey-text,33,460243,0.0-13.0-3.0,89483,List1B,black,woman,,,,,"{""Q0"":""luke is greeting mike""}","<img src=""stim_listB/greet5.gif""style=""height:400px;""></stim_listB>",is greeting,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,34,460747,0.0-13.0-0.1,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/copy7.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,35,462750,0.0-13.0-1.1,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is copying,,html-keyboard-response,36,464753,0.0-13.0-2.1,89483,List1B,black,woman,,,,null,,,,,,,,,
22807,,,survey-text,37,487566,0.0-13.0-3.1,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is playing with kate""}","<img src=""stim_listB/copy7.gif""style=""height:400px;""></stim_listB>",is copying,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,38,488069,0.0-13.0-0.2,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/oppose4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,39,490074,0.0-13.0-1.2,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being opposed by,,html-keyboard-response,40,492077,0.0-13.0-2.2,89483,List1B,black,woman,,,,null,,,,,,,,,
19888.2,,,survey-text,41,511969,0.0-13.0-3.2,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is being opposed by luke""}","<img src=""stim_listB/oppose4.gif""style=""height:400px;""></stim_listB>",is being opposed by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,42,512473,0.0-13.0-0.3,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/hug7.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,43,514478,0.0-13.0-1.3,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is hugging,,html-keyboard-response,44,516479,0.0-13.0-2.3,89483,List1B,black,woman,,,,null,,,,,,,,,
26170.1,,,survey-text,45,542653,0.0-13.0-3.3,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is hugging beth""}","<img src=""stim_listB/hug7.gif""style=""height:400px;""></stim_listB>",is hugging,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,46,543155,0.0-13.0-0.4,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/seduce6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,47,545166,0.0-13.0-1.4,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being seduced by,,html-keyboard-response,48,547169,0.0-13.0-2.4,89483,List1B,black,woman,,,,null,,,,,,,,,
19521.3,,,survey-text,49,566695,0.0-13.0-3.4,89483,List1B,black,woman,,,,,"{""Q0"":""luke is being seduced by mike""}","<img src=""stim_listB/seduce6.gif""style=""height:400px;""></stim_listB>",is being seduced by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,50,567196,0.0-13.0-0.5,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/look3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,51,569199,0.0-13.0-1.5,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is looking at,,html-keyboard-response,52,571201,0.0-13.0-2.5,89483,List1B,black,woman,,,,null,,,,,,,,,
17836.3,,,survey-text,53,589042,0.0-13.0-3.5,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is looking at luke""}","<img src=""stim_listB/look3.gif""style=""height:400px;""></stim_listB>",is looking at,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,54,589544,0.0-13.0-0.6,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/copy8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,55,591548,0.0-13.0-1.6,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being copied by,,html-keyboard-response,56,593551,0.0-13.0-2.6,89483,List1B,black,woman,,,,null,,,,,,,,,
28833.9,,,survey-text,57,622389,0.0-13.0-3.6,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is being copied by beth""}","<img src=""stim_listB/copy8.gif""style=""height:400px;""></stim_listB>",is being copied by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,58,622892,0.0-13.0-0.7,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/look8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,59,624895,0.0-13.0-1.7,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being looked at by,,html-keyboard-response,60,626897,0.0-13.0-2.7,89483,List1B,black,woman,,,,null,,,,,,,,,
24077.3,,,survey-text,61,650981,0.0-13.0-3.7,89483,List1B,black,woman,,,,,"{""Q0"":""jane is being looked at by kate""}","<img src=""stim_listB/look8.gif""style=""height:400px;""></stim_listB>",is being looked at by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,62,651486,0.0-13.0-0.8,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/kiss4.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,63,653489,0.0-13.0-1.8,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being kissed by,,html-keyboard-response,64,655491,0.0-13.0-2.8,89483,List1B,black,woman,,,,null,,,,,,,,,
22838.8,,,survey-text,65,678333,0.0-13.0-3.8,89483,List1B,black,woman,,,,,"{""Q0"":""dave is being kissed by jane""}","<img src=""stim_listB/kiss4.gif""style=""height:400px;""></stim_listB>",is being kissed by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,66,678835,0.0-13.0-0.9,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/greet3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,67,680837,0.0-13.0-1.9,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is greeting,,html-keyboard-response,68,682853,0.0-13.0-2.9,89483,List1B,black,woman,,,,null,,,,,,,,,
19252.3,,,survey-text,69,702110,0.0-13.0-3.9,89483,List1B,black,woman,,,,,"{""Q0"":""dave is greeting ruth""}","<img src=""stim_listB/greet3.gif""style=""height:400px;""></stim_listB>",is greeting,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,70,702618,0.0-13.0-0.10,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/shout3.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,71,704621,0.0-13.0-1.10,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is shouting at,,html-keyboard-response,72,706623,0.0-13.0-2.10,89483,List1B,black,woman,,,,null,,,,,,,,,
16386.8,,,survey-text,73,723014,0.0-13.0-3.10,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is shouting at luke""}","<img src=""stim_listB/shout3.gif""style=""height:400px;""></stim_listB>",is shouting at,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,74,723517,0.0-13.0-0.11,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/seduce8.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,75,725519,0.0-13.0-1.11,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being seduced by,,html-keyboard-response,76,727522,0.0-13.0-2.11,89483,List1B,black,woman,,,,null,,,,,,,,,
15904.6,,,survey-text,77,743433,0.0-13.0-3.11,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is being seduced by kate""}","<img src=""stim_listB/seduce8.gif""style=""height:400px;""></stim_listB>",is being seduced by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,78,743935,0.0-13.0-0.12,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/oppose2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,79,745937,0.0-13.0-1.12,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being opposed by,,html-keyboard-response,80,747939,0.0-13.0-2.12,89483,List1B,black,woman,,,,null,,,,,,,,,
19267,,,survey-text,81,767212,0.0-13.0-3.12,89483,List1B,black,woman,,,,,"{""Q0"":""fred is being opposed by beth""}","<img src=""stim_listB/oppose2.gif""style=""height:400px;""></stim_listB>",is being opposed by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,82,767715,0.0-13.0-0.13,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/touch2.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,83,769717,0.0-13.0-1.13,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being touched by,,html-keyboard-response,84,771719,0.0-13.0-2.13,89483,List1B,black,woman,,,,null,,,,,,,,,
38510.9,,,survey-text,85,810233,0.0-13.0-3.13,89483,List1B,black,woman,,,,,"{""Q0"":""fred is being touched by beth""}","<img src=""stim_listB/touch2.gif""style=""height:400px;""></stim_listB>",is being touched by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,86,810735,0.0-13.0-0.14,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/kiss7.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,87,812740,0.0-13.0-1.14,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is kissing,,html-keyboard-response,88,814757,0.0-13.0-2.14,89483,List1B,black,woman,,,,null,,,,,,,,,
15678.5,,,survey-text,89,830441,0.0-13.0-3.14,89483,List1B,black,woman,,,,,"{""Q0"":""ruth is kissing beth""}","<img src=""stim_listB/kiss7.gif""style=""height:400px;""></stim_listB>",is kissing,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,90,830957,0.0-13.0-0.15,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/seduce1.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,91,832961,0.0-13.0-1.15,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is seducing,,html-keyboard-response,92,834963,0.0-13.0-2.15,89483,List1B,black,woman,,,,null,,,,,,,,,
15949.6,,,survey-text,93,850918,0.0-13.0-3.15,89483,List1B,black,woman,,,,,"{""Q0"":""fred is seducing kate""}","<img src=""stim_listB/seduce1.gif""style=""height:400px;""></stim_listB>",is seducing,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,94,851420,0.0-13.0-0.16,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/shout1.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,95,853424,0.0-13.0-1.16,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is shouting at,,html-keyboard-response,96,855426,0.0-13.0-2.16,89483,List1B,black,woman,,,,null,,,,,,,,,
11467.8,,,survey-text,97,866899,0.0-13.0-3.16,89483,List1B,black,woman,,,,,"{""Q0"":""fred is shouting at beth""}","<img src=""stim_listB/shout1.gif""style=""height:400px;""></stim_listB>",is shouting at,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,98,867404,0.0-13.0-0.17,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/greet6.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,99,869408,0.0-13.0-1.17,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is being greeted by,,html-keyboard-response,100,871410,0.0-13.0-2.17,89483,List1B,black,woman,,,,null,,,,,,,,,
19825.1,,,survey-text,101,891240,0.0-13.0-3.17,89483,List1B,black,woman,,,,,"{""Q0"":""fred is being greeted by dave""}","<img src=""stim_listB/greet6.gif""style=""height:400px;""></stim_listB>",is being greeted by,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,102,891752,0.0-13.0-0.18,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/kiss5.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,103,893755,0.0-13.0-1.18,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is kissing,,html-keyboard-response,104,895757,0.0-13.0-2.18,89483,List1B,black,woman,,,,null,,,,,,,,,
15425.6,,,survey-text,105,911185,0.0-13.0-3.18,89483,List1B,black,woman,,,,,"{""Q0"":""fred is kissing luke""}","<img src=""stim_listB/kiss5.gif""style=""height:400px;""></stim_listB>",is kissing,,,,,,
null,"<div style=""font-size:60px;"">+</div>",,html-keyboard-response,106,911687,0.0-13.0-0.19,89483,List1B,black,woman,,,,null,,,,,,,,,
null,"<img src=""stim_listB/touch1.gif""style=""height:400px;""></stim_listB>",,html-keyboard-response,107,913699,0.0-13.0-1.19,89483,List1B,black,woman,,,,null,,,,,,,,,
null,is touching,,html-keyboard-response,108,915701,0.0-13.0-2.19,89483,List1B,black,woman,,,,null,,,,,,,,,
22889,,,survey-text,109,938594,0.0-13.0-3.19,89483,List1B,black,woman,,,,,"{""Q0"":""kate is touching mike""}","<img src=""stim_listB/touch1.gif""style=""height:400px;""></stim_listB>",is touching,,,,,,
